event_id,video_stem,action_label,action_label_raw,contact_frame,window_start,window_end,expected_window_frames,pose_frames_available,missing_pose_frames,needs_review,review_note,handedness_assumption,active_wrist_side,active_wrist_path_length_norm,active_wrist_straight_displacement_norm,active_wrist_curvature_deg_total,active_wrist_curvature_deg_per_segment,active_wrist_follow_through_length_norm,active_wrist_max_speed_norm_per_frame,active_wrist_mean_speed_norm_per_frame,active_wrist_max_speed_px_per_second,active_wrist_max_accel_norm_per_frame2,active_wrist_x_range_norm,active_wrist_y_range_norm,torso_rotation_proxy_range_deg,shoulder_line_angle_range_deg,hip_line_angle_range_deg,torso_lean_angle_range_deg,bbox_center_x_range_px,bbox_center_y_range_px,nearest_pose_frame_to_contact,contact_frame_pose_offset,contact_active_wrist_norm_x,contact_active_wrist_norm_y,contact_torso_rotation_proxy_deg
0,tennis_video_1,backhand,backhand,35,20,50,31,31,0,False,,right,right,5.23112778681188,1.612909840706688,1098.9041065598917,37.89324505378937,1.6942086975743658,0.6764776043985795,0.16991339088444887,4683.1052288758165,0.2991405394527053,2.5269432046900357,1.0731590652348937,36.2266770236599,358.0326553217654,21.940760117250363,13.751687372121026,148.15670776367188,120.3096923828125,35,0,-1.1695246744617802,-1.7389000353199064,-4.371677636350711
1,tennis_video_1,backhand,backhand,132,117,147,31,31,0,False,,right,right,4.720904382128713,1.444545426667089,812.532393689003,28.01835840306907,3.0608848755074227,0.6780437465102194,0.15529219953809456,6158.704376975488,0.23195409299301117,2.459608986473124,1.3322034798905487,24.18168298613807,357.0227764320311,358.7038006562,9.836089765044335,342.0588684082031,87.50042724609375,132,0,0.998034729009533,-1.2077743704620518,9.131774496671795
2,tennis_video_1,backhand,backhand,243,228,258,31,31,0,False,,right,right,5.939646375080703,1.9954773972078141,1543.2939048457044,53.21703120157601,1.8382165476881682,0.7254361404719081,0.19522067509720864,5813.9808039719355,0.4259054335659543,2.505673205595813,0.765820331781345,30.69663779091377,356.5597557848083,359.3819362350189,6.810670583897135,194.8988037109375,62.355224609375,243,0,-0.23213192869605767,-1.5836410933434781,-10.016699112751468
3,tennis_video_1,backhand,backhand,326,311,341,31,31,0,False,,right,right,5.419715321806881,1.4886143550017483,1049.2281111953719,36.180279696392134,2.000904384766619,0.7065586232597503,0.17758297575899154,6420.797838948127,0.36622955197946183,2.4040687228757864,1.2595682939246151,30.163804771318155,357.2884045927404,359.5646994377032,6.786173276578737,371.5533447265625,121.95587158203125,326,0,-0.7647682640762054,-1.2494035540874775,-0.2612737230615494
4,tennis_video_1,forehand,forehand,434,419,449,31,31,0,False,,right,right,7.526991342002939,1.3786337956692873,1538.4936768109455,53.05150609692916,3.9905964077659504,1.0862551079668752,0.245119919479335,6874.624351835347,0.7622625060120342,3.6442639268379216,1.5024374385413097,132.4609199781099,188.44824394677588,179.34146223857684,31.09802756520905,200.94464111328125,83.84686279296875,434,0,-1.4574379435080143,-0.6678412427876839,1.928874098589631
5,tennis_video_1,backhand,backhand,542,527,557,31,31,0,False,,right,right,5.760321193299557,1.3428284679163556,828.3339967865422,28.563241268501457,3.8743837467767888,0.6271140230501085,0.1868748934865492,3293.5617865387712,0.2960122820479517,2.5794710825835248,1.3429298604393294,18.319029489455005,359.7852764671123,358.5446193362543,13.143284807412172,297.23309326171875,69.98297119140625,542,0,1.061593867165455,-1.1468143308403251,9.308419468287411
6,tennis_video_1,forehand,forehand,650,635,665,31,31,0,False,,right,right,7.688279418146683,1.3488310524327383,1480.9927595091415,51.06871584514281,3.23071019012393,1.7399157920389063,0.2519016599080189,5343.026857580814,1.6108099222369106,3.557833935128781,1.1308743988095096,152.68846827820568,179.02016930831206,179.57516260184806,26.055126001430963,150.0703125,43.23236083984375,650,0,-2.356302854146464,-0.3433218743410119,150.44060985908624
7,tennis_video_1,backhand,backhand,755,740,770,31,31,0,False,,right,right,6.792015438392485,2.0456340792697802,1612.712352354456,55.61077077084331,1.4989629236361686,0.7643928269580781,0.22260432255804327,2968.3248932428637,0.36396982149609697,3.2556323874616817,1.5567881822276304,20.984133512105814,358.59883286334616,359.3272052042947,14.409333880407118,130.54010009765625,48.1075439453125,755,0,-0.503062737724562,-2.3978656062735375,11.12042442845879
8,tennis_video_1,backhand,backhand,830,815,845,31,31,0,False,,right,right,5.310131672638159,1.5140007447022437,1093.014047786043,37.69013957882907,3.9442880611577986,0.7489830799371674,0.17140304262782674,3332.8511532119437,0.3360547114002468,2.5087719297555506,1.401243538397821,20.716200384760384,357.50371045815575,359.18857259439847,15.90940687874577,208.74609375,77.3935546875,830,0,1.04676581153742,-0.672928449733404,-2.911934756264799
9,tennis_video_1,backhand,backhand,926,911,941,31,31,0,False,,right,right,5.374249929771586,1.2628946132845298,1036.6878166629137,35.747855746997026,3.986904076573047,0.8600908195747934,0.17518859966527947,3808.5085113817113,0.5579503060295832,2.409939905741976,1.3607610118091797,25.572745420814897,357.3088893020331,359.45145352665577,16.17597958075295,213.8150634765625,53.1256103515625,926,0,1.0127711432282511,-0.6350327546660719,-5.5374013657641115
